Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2
ERX2195934	10/26/17 7:16	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2139385	ERP104508	PRJEB22802	415938	ERS1945267	SAMEA104320289	ERA1105626	RNA-Seq	unspecified	TRANSCRIPTOMIC		UNIVERSITY OF VIENNA	0	0	4658321	7837518							
ERX2259197	2/6/18 8:08	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	ERR2204831	ERP105395	PRJEB23633	435039	ERS2020333	SAMEA104402391	ERA1143815	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		"Novo Nordisk Center For Biosustainability, Technical University of Denmark"	250	30	5052601	8470523					ersA		
ERX2259198	2/6/18 8:08	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	ERR2204832	ERP105395	PRJEB23633	435039	ERS2020334	SAMEA104402392	ERA1143815	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		"Novo Nordisk Center For Biosustainability, Technical University of Denmark"	250	30	5052602	8470524					ersA		
ERX2259199	2/6/18 8:08	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	ERR2204833	ERP105395	PRJEB23633	435039	ERS2020335	SAMEA104402393	ERA1143815	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		"Novo Nordisk Center For Biosustainability, Technical University of Denmark"	250	30	5052603	8470525					wild type genotype		
ERX2259200	2/6/18 8:08	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	ERR2204834	ERP105395	PRJEB23633	435039	ERS2020336	SAMEA104402394	ERA1143815	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		"Novo Nordisk Center For Biosustainability, Technical University of Denmark"	250	30	5052604	8470526					wild type genotype		
ERX2300159	3/16/18 8:09	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR2248409	ERP106254	PRJEB24427	438639	ERS2089050	SAMEA104471108	ERA1180351	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UNIVERSITY OF OXFORD	213	0	5237711	8722755							
ERX2300160	3/16/18 8:09	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR2248410	ERP106254	PRJEB24427	438639	ERS2089051	SAMEA104471109	ERA1180351	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UNIVERSITY OF OXFORD	214	0	5237712	8722756							
ERX2300161	3/16/18 8:09	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR2248411	ERP106254	PRJEB24427	438639	ERS2089052	SAMEA104471110	ERA1180351	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UNIVERSITY OF OXFORD	214	0	5237713	8722757							
ERX2300162	3/16/18 8:09	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR2248412	ERP106254	PRJEB24427	438639	ERS2089053	SAMEA104471111	ERA1180351	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UNIVERSITY OF OXFORD	217	0	5237714	8722758							
ERX2300163	3/16/18 8:09	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR2248413	ERP106254	PRJEB24427	438639	ERS2089054	SAMEA104471112	ERA1180351	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UNIVERSITY OF OXFORD	214	0	5237715	8722759							
ERX2300164	3/16/18 8:09	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR2248414	ERP106254	PRJEB24427	438639	ERS2089055	SAMEA104471113	ERA1180351	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UNIVERSITY OF OXFORD	217	0	5237716	8722760							
ERX2300165	3/16/18 8:09	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR2248415	ERP106254	PRJEB24427	438639	ERS2089056	SAMEA104471114	ERA1180351	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UNIVERSITY OF OXFORD	208	0	5237717	8722761							
ERX2300166	3/16/18 8:09	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR2248416	ERP106254	PRJEB24427	438639	ERS2089057	SAMEA104471115	ERA1180351	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UNIVERSITY OF OXFORD	215	0	5237718	8722762							
ERX2300167	3/16/18 8:09	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR2248417	ERP106254	PRJEB24427	438639	ERS2089058	SAMEA104471116	ERA1180351	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UNIVERSITY OF OXFORD	213	0	5237719	8722763							
ERX2300168	3/16/18 8:09	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR2248418	ERP106254	PRJEB24427	438639	ERS2089059	SAMEA104471117	ERA1180351	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UNIVERSITY OF OXFORD	217	0	5237720	8722764							
ERX2300169	3/16/18 8:09	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR2248419	ERP106254	PRJEB24427	438639	ERS2089060	SAMEA104471118	ERA1180351	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UNIVERSITY OF OXFORD	211	0	5237721	8722765							
ERX2300170	3/16/18 8:09	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR2248420	ERP106254	PRJEB24427	438639	ERS2089061	SAMEA104471119	ERA1180351	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		UNIVERSITY OF OXFORD	215	0	5237722	8722766							
ERX2456848	4/30/18 14:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	NextSeq 500	ERR2437280	ERP107614	PRJEB25674	454255	ERS2312229	SAMEA104710846	ERA1253810	RNA-Seq	PolyA	TRANSCRIPTOMIC		Ghent University	0	0	5487300	9003785					wild type genotype		
ERX2456849	4/30/18 14:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	NextSeq 500	ERR2437281	ERP107614	PRJEB25674	454255	ERS2312230	SAMEA104710847	ERA1253810	RNA-Seq	PolyA	TRANSCRIPTOMIC		Ghent University	0	0	5487301	9003786					wild type genotype		
ERX2456850	4/30/18 14:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	NextSeq 500	ERR2437282	ERP107614	PRJEB25674	454255	ERS2312231	SAMEA104710848	ERA1253810	RNA-Seq	PolyA	TRANSCRIPTOMIC		Ghent University	0	0	5487302	9003787					wild type genotype		
ERX2456851	4/30/18 14:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	NextSeq 500	ERR2437283	ERP107614	PRJEB25674	454255	ERS2312232	SAMEA104710849	ERA1253810	RNA-Seq	PolyA	TRANSCRIPTOMIC		Ghent University	0	0	5487303	9003788					wild type genotype		
ERX2456852	4/30/18 14:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	NextSeq 500	ERR2437284	ERP107614	PRJEB25674	454255	ERS2312233	SAMEA104710850	ERA1253810	RNA-Seq	PolyA	TRANSCRIPTOMIC		Ghent University	0	0	5487304	9003789					wild type genotype		
ERX2456853	4/30/18 14:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	NextSeq 500	ERR2437285	ERP107614	PRJEB25674	454255	ERS2312234	SAMEA104710851	ERA1253810	RNA-Seq	PolyA	TRANSCRIPTOMIC		Ghent University	0	0	5487305	9003790					wild type genotype		
ERX2456854	4/30/18 14:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	NextSeq 500	ERR2437286	ERP107614	PRJEB25674	454255	ERS2312235	SAMEA104710852	ERA1253810	RNA-Seq	PolyA	TRANSCRIPTOMIC		Ghent University	0	0	5487306	9003791					wild type genotype		
ERX2456855	4/30/18 14:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	NextSeq 500	ERR2437287	ERP107614	PRJEB25674	454255	ERS2312236	SAMEA104710853	ERA1253810	RNA-Seq	PolyA	TRANSCRIPTOMIC		Ghent University	0	0	5487307	9003792					wild type genotype		
ERX2456856	4/30/18 14:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	NextSeq 500	ERR2437288	ERP107614	PRJEB25674	454255	ERS2312237	SAMEA104710854	ERA1253810	RNA-Seq	PolyA	TRANSCRIPTOMIC		Ghent University	0	0	5487308	9003793					wild type genotype		
ERX2456857	4/30/18 14:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	NextSeq 500	ERR2437289	ERP107614	PRJEB25674	454255	ERS2312238	SAMEA104710855	ERA1253810	RNA-Seq	PolyA	TRANSCRIPTOMIC		Ghent University	0	0	5487309	9003794					wild type genotype		
ERX2456858	4/30/18 14:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	NextSeq 500	ERR2437290	ERP107614	PRJEB25674	454255	ERS2312239	SAMEA104710856	ERA1253810	RNA-Seq	PolyA	TRANSCRIPTOMIC		Ghent University	0	0	5487310	9003795					wild type genotype		
ERX2456859	4/30/18 14:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	NextSeq 500	ERR2437291	ERP107614	PRJEB25674	454255	ERS2312240	SAMEA104710857	ERA1253810	RNA-Seq	PolyA	TRANSCRIPTOMIC		Ghent University	0	0	5487311	9003796					wild type genotype		
ERX2813653	10/25/18 15:03	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2806276	ERP110939	PRJEB28696	497682	ERS2745134	SAMEA4926125	ERA1603064	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		UNIVERSITY OF VIENNA	0	0	6647902	10302861							
ERX2813654	10/25/18 15:03	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2806277	ERP110939	PRJEB28696	497682	ERS2745135	SAMEA4926126	ERA1603064	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		UNIVERSITY OF VIENNA	0	0	6647903	10302862							
ERX2813655	10/25/18 15:03	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2806278	ERP110939	PRJEB28696	497682	ERS2745136	SAMEA4926127	ERA1603064	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		UNIVERSITY OF VIENNA	0	0	6647904	10302863							
ERX2813656	10/25/18 15:03	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2806279	ERP110939	PRJEB28696	497682	ERS2745137	SAMEA4926128	ERA1603064	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		UNIVERSITY OF VIENNA	0	0	6647905	10302864							
ERX2813657	10/25/18 15:03	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2806280	ERP110939	PRJEB28696	497682	ERS2745138	SAMEA4926129	ERA1603064	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		UNIVERSITY OF VIENNA	0	0	6647906	10302865							
ERX2813658	10/25/18 15:03	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2806281	ERP110939	PRJEB28696	497682	ERS2745139	SAMEA4926130	ERA1603064	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		UNIVERSITY OF VIENNA	0	0	6647907	10302866							
ERX3284746	4/9/19 7:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3258010	ERP114582	PRJEB31965	531635	ERS3346045	SAMEA5543989	ERA1804049	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7619074	11370937							
ERX3284747	4/9/19 7:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3258011	ERP114582	PRJEB31965	531635	ERS3346046	SAMEA5543990	ERA1804049	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7619075	11370938							
ERX3284748	4/9/19 7:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3258012	ERP114582	PRJEB31965	531635	ERS3346047	SAMEA5543991	ERA1804049	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7619076	11370939							
ERX3284749	4/9/19 7:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3258013	ERP114582	PRJEB31965	531635	ERS3346048	SAMEA5543992	ERA1804049	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7619077	11370940							
ERX3284750	4/9/19 7:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3258014	ERP114582	PRJEB31965	531635	ERS3346049	SAMEA5543993	ERA1804049	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7619078	11370941							
ERX3284751	4/9/19 7:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3258015	ERP114582	PRJEB31965	531635	ERS3346050	SAMEA5543994	ERA1804049	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7619079	11370942							
ERX3284752	4/9/19 7:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3258016	ERP114582	PRJEB31965	531635	ERS3346051	SAMEA5543995	ERA1804049	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7619080	11370943							
ERX3284753	4/9/19 7:37	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3258017	ERP114582	PRJEB31965	531635	ERS3346052	SAMEA5543996	ERA1804049	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7619081	11370944							
ERX3325033	4/29/19 7:40	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3298755	ERP114582	PRJEB31965	531635	ERS3386908	SAMEA5582681	ERA1869983	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7752418	11525644							
ERX3325034	4/29/19 7:40	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3298756	ERP114582	PRJEB31965	531635	ERS3386909	SAMEA5582682	ERA1869983	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7752419	11525645							
ERX3325035	4/29/19 7:40	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3298757	ERP114582	PRJEB31965	531635	ERS3386910	SAMEA5582683	ERA1869983	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7752420	11525646							
ERX3325036	4/29/19 7:40	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3298758	ERP114582	PRJEB31965	531635	ERS3386911	SAMEA5582684	ERA1869983	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7752421	11525647							
ERX3325037	4/29/19 7:40	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3298759	ERP114582	PRJEB31965	531635	ERS3386912	SAMEA5582685	ERA1869983	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7752422	11525648							
ERX3325038	4/29/19 7:40	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina MiSeq	ERR3298760	ERP114582	PRJEB31965	531635	ERS3386913	SAMEA5582686	ERA1869983	RNA-Seq	other	TRANSCRIPTOMIC		WEIZMANN INSTITUTE OF SCIENCE	0	0	7752423	11525649							
ERX3558798	10/6/19 8:53	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR3559047	ERP117503	PRJEB34578	576061	ERS3775582	SAMEA5972741	ERA2144125	RNA-Seq	cDNA	TRANSCRIPTOMIC		GATC	0	0	9150164	12922464					wild type genotype		
ERX3558799	10/6/19 8:53	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR3559048	ERP117503	PRJEB34578	576061	ERS3775583	SAMEA5972742	ERA2144125	RNA-Seq	cDNA	TRANSCRIPTOMIC		GATC	0	0	9150165	12922465					wild type genotype		
ERX3558800	10/6/19 8:53	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR3559049	ERP117503	PRJEB34578	576061	ERS3775584	SAMEA5972743	ERA2144125	RNA-Seq	cDNA	TRANSCRIPTOMIC		GATC	0	0	9150166	12922466					wild type genotype		
ERX3558801	10/6/19 8:53	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR3559050	ERP117503	PRJEB34578	576061	ERS3775585	SAMEA5972744	ERA2144125	RNA-Seq	cDNA	TRANSCRIPTOMIC		GATC	0	0	9150167	12922467					wild type genotype		
ERX3558802	10/6/19 8:53	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR3559051	ERP117503	PRJEB34578	576061	ERS3775586	SAMEA5972745	ERA2144125	RNA-Seq	cDNA	TRANSCRIPTOMIC		GATC	0	0	9150168	12922468					wild type genotype		
ERX3558803	10/6/19 8:53	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR3559052	ERP117503	PRJEB34578	576061	ERS3775587	SAMEA5972746	ERA2144125	RNA-Seq	cDNA	TRANSCRIPTOMIC		GATC	0	0	9150169	12922469					wild type genotype		
ERX3558804	10/6/19 8:53	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR3559053	ERP117503	PRJEB34578	576061	ERS3775588	SAMEA5972747	ERA2144125	RNA-Seq	cDNA	TRANSCRIPTOMIC		GATC	0	0	9150170	12922470					wild type genotype		
ERX3558805	10/6/19 8:53	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR3559054	ERP117503	PRJEB34578	576061	ERS3775589	SAMEA5972748	ERA2144125	RNA-Seq	cDNA	TRANSCRIPTOMIC		GATC	0	0	9150171	12922471					wild type genotype		
ERX3593017	12/3/19 21:11	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR3597223	ERP117892	PRJEB34916	593477	ERS3887527	SAMEA6087120	ERA2165761	RNA-Seq	RT-PCR	TRANSCRIPTOMIC		GATC	0	0	9534031	13476830					wild type genotype		
